Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
471543e342c5e822d6fdd91213acd54b031d9312dacdd5ff48b71fc99c32644c,2014-06,Northumbria Police,Northumbria Police,-1.639880,54.975640,On or near STANHOPE STREET,E01033556,Newcastle upon Tyne 022H,Offender given community sentence
01ec6a4b72b38a4573e291311b0e2e9aa72db908d381fab6bac6ccb76244a135,2014-06,Northumbria Police,Northumbria Police,-1.655752,54.970249,On or near Supermarket,E01008332,Newcastle upon Tyne 029B,Offender ordered to pay compensation
02f404dd0ae09ea004913d5789e8a4570f95fa9d97aea1e0432a42aa5907d16c,2014-06,Northumbria Police,Northumbria Police,-1.443723,54.960604,On or near BROWNING CLOSE,E01008606,South Tyneside 016C,Offender given community sentence
a7af7944b65760267e66ace1b03b51197a13b6cf77557d6ea5eba9672a2aaa1a,2014-06,Northumbria Police,Northumbria Police,-1.628455,54.969378,On or near VICTORIA STREET,E01008439,Newcastle upon Tyne 024E,Offender given conditional discharge
7c79a6e4b2b312545cefa1f839c3953d7defac0ddf66608b0c43b2fade3add6c,2014-06,Northumbria Police,Northumbria Police,-1.426771,54.983064,On or near MORTIMER ROAD,E01008673,South Tyneside 003A,Defendant found not guilty
31c1c84cdf5538e53a2da5e5db5472fbccabeaaf3abdf58e6cb5d776adf4f9ff,2014-06,Northumbria Police,Northumbria Police,-1.507676,55.127790,On or near UNION STREET,E01027415,Northumberland 023B,Offender given absolute discharge
4b72cc8ba4bae5bc9748b15e8f7f8d1e7bb60e833445c8f13cc119978eb44022,2014-06,Northumbria Police,Northumbria Police,-1.548799,55.173283,On or near CANTERBURY CLOSE,E01027533,Northumberland 013A,Offender sent to prison
68297a805bfbfe042579a2681e4c85ee5757883870d8ca6ff2c74fb85a4ea8ca,2014-06,Northumbria Police,Northumbria Police,-1.665922,54.981412,On or near Supermarket,E01008346,Newcastle upon Tyne 019D,Court case unable to proceed
6ee12ba790cc085e607fafcf7ef21f5c218b92dea4d439cb6f8d3d9150d4f5bb,2014-06,Northumbria Police,Northumbria Police,-1.668555,54.957641,On or near Shopping Area,E01008262,Gateshead 009A,Offender given community sentence
b794231120223235dd5a8189fdcc940ccc621ae05a880fbba39002d8ce6d70f8,2014-06,Northumbria Police,Northumbria Police,-1.614464,54.968814,On or near Pedestrian Subway,E01033545,Newcastle upon Tyne 024H,Court case unable to proceed
0fd9f33ed12edad7e594647f3ed47a28abbd19d71c77dfd06147a80903808eff,2014-06,Northumbria Police,Northumbria Police,-2.119848,54.966759,On or near CANON SAVAGE DRIVE,E01027491,Northumberland 035D,Offender sent to prison
7185b5f082b3b334edaa1abce5d7af726e6125cbb1a22ff6bc6f2206c05181fd,2014-06,Northumbria Police,Northumbria Police,-1.423589,54.999026,On or near ELEANOR STREET,E01008596,South Tyneside 001B,Offender fined
